hour,p25,p75,p90,p99,mean
0,36763.0,48731.75,54952.700000000004,66433.92000000001,43350.25073260073
1,35055.75,45829.5,51608.4,62940.55,41053.70828754579
2,33927.5,43786.75,49104.0,59784.380000000005,39471.09171245421
3,33271.75,42443.25,47417.8,57249.630000000005,38447.58205128205
4,33035.5,41648.25,46445.6,55686.77000000002,37935.78736263736
5,33338.5,41653.25,46411.200000000004,55393.290000000015,38089.757783882786
6,34581.75,42876.5,47593.4,56346.55,39251.719963369964
7,36597.0,44882.0,49525.0,57656.72000000001,41214.5956043956
8,37869.0,45886.5,50670.8,58492.850000000006,42353.18415750916
9,38810.0,47224.5,51648.6,59791.78000000003,43471.10604395604
10,39858.75,49263.75,53884.200000000004,62589.66,44962.5902014652
11,40439.5,51534.25,57361.3,66776.78000000001,46508.609615384616
12,40636.25,54744.5,61019.0,70979.51,47949.81172161172
13,40678.25,57692.75,64357.1,75123.95000000001,49227.76749084249
14,40578.75,60108.0,67241.1,78699.99,50415.94945054945
15,40513.75,61910.0,69266.7,81321.39,51286.980769230766
16,40520.0,63202.75,70427.6,82886.38,51887.771703296705
17,40790.5,63747.75,71106.7,83100.06000000003,52341.33003663003
18,41562.0,63356.25,70979.7,83060.74,52579.64844322344
19,42368.75,61913.25,69366.8,81708.30000000002,52329.68296703296
20,42255.75,59785.25,67152.9,79255.40000000002,51324.46016483517
21,41884.0,57817.25,64702.700000000004,76485.89000000003,50265.79139194139
22,40790.5,55608.25,62282.6,74184.93000000001,48696.81263736264
23,38904.25,52226.75,58545.3,70417.25000000001,46122.0239010989
